"id","item","resp","cov_ideology","cov_party_id","cov_age_band","cov_gender"
429,IMM_9,3,1,1,18-29,Male
429,IMM_8,4,1,1,18-29,Male
429,IMM_4,3,1,1,18-29,Male
429,IMM_5,0,1,1,18-29,Male
429,IMM_1,0,1,1,18-29,Male
429,IMM_6,3,1,1,18-29,Male
429,IMM_2,1,1,1,18-29,Male
429,IMM_3,4,1,1,18-29,Male
429,IMM_10,4,1,1,18-29,Male
429,IMM_7,0,1,1,18-29,Male
430,IMM_10,4,1,7,30-39,Male
430,IMM_1,3,1,7,30-39,Male
430,IMM_9,3,1,7,30-39,Male
430,IMM_2,4,1,7,30-39,Male
430,IMM_3,0,1,7,30-39,Male
430,IMM_8,2,1,7,30-39,Male
430,IMM_5,4,1,7,30-39,Male
430,IMM_4,3,1,7,30-39,Male
430,IMM_6,4,1,7,30-39,Male
430,IMM_7,3,1,7,30-39,Male
442,IMM_8,4,1,3,50-59,Male
442,IMM_2,2,1,3,50-59,Male
442,IMM_6,3,1,3,50-59,Male
442,IMM_7,2,1,3,50-59,Male
442,IMM_4,2,1,3,50-59,Male
442,IMM_3,1,1,3,50-59,Male
442,IMM_9,2,1,3,50-59,Male
442,IMM_10,0,1,3,50-59,Male
442,IMM_1,3,1,3,50-59,Male
442,IMM_5,0,1,3,50-59,Male
453,IMM_9,1,1,1,50-59,Male
453,IMM_4,1,1,1,50-59,Male
453,IMM_6,3,1,1,50-59,Male
453,IMM_3,4,1,1,50-59,Male
453,IMM_10,4,1,1,50-59,Male
453,IMM_7,1,1,1,50-59,Male
453,IMM_8,4,1,1,50-59,Male
453,IMM_1,0,1,1,50-59,Male
453,IMM_2,2,1,1,50-59,Male
453,IMM_5,0,1,1,50-59,Male
466,IMM_8,0,1,1,18-29,Male
466,IMM_2,2,1,1,18-29,Male
466,IMM_1,3,1,1,18-29,Male
466,IMM_9,2,1,1,18-29,Male
466,IMM_7,2,1,1,18-29,Male
466,IMM_6,2,1,1,18-29,Male
466,IMM_5,2,1,1,18-29,Male
466,IMM_10,3,1,1,18-29,Male
466,IMM_3,4,1,1,18-29,Male
466,IMM_4,4,1,1,18-29,Male
469,IMM_5,3,1,2,40-49,Male
469,IMM_1,2,1,2,40-49,Male
469,IMM_10,2,1,2,40-49,Male
469,IMM_2,0,1,2,40-49,Male
469,IMM_3,4,1,2,40-49,Male
469,IMM_8,3,1,2,40-49,Male
469,IMM_6,4,1,2,40-49,Male
469,IMM_9,3,1,2,40-49,Male
469,IMM_7,2,1,2,40-49,Male
469,IMM_4,3,1,2,40-49,Male
491,IMM_8,0,1,7,50-59,Male
491,IMM_5,4,1,7,50-59,Male
491,IMM_9,0,1,7,50-59,Male
491,IMM_6,3,1,7,50-59,Male
491,IMM_2,3,1,7,50-59,Male
491,IMM_3,0,1,7,50-59,Male
491,IMM_4,1,1,7,50-59,Male
491,IMM_1,3,1,7,50-59,Male
491,IMM_7,2,1,7,50-59,Male
491,IMM_10,0,1,7,50-59,Male
502,IMM_6,2,1,2,30-39,Female
502,IMM_4,1,1,2,30-39,Female
502,IMM_9,1,1,2,30-39,Female
502,IMM_8,3,1,2,30-39,Female
502,IMM_10,2,1,2,30-39,Female
502,IMM_3,2,1,2,30-39,Female
502,IMM_5,1,1,2,30-39,Female
502,IMM_1,1,1,2,30-39,Female
502,IMM_7,1,1,2,30-39,Female
502,IMM_2,2,1,2,30-39,Female
511,IMM_4,0,1,1,50-59,Female
511,IMM_3,4,1,1,50-59,Female
511,IMM_10,1,1,1,50-59,Female
511,IMM_9,3,1,1,50-59,Female
511,IMM_8,3,1,1,50-59,Female
511,IMM_6,3,1,1,50-59,Female
511,IMM_5,0,1,1,50-59,Female
511,IMM_7,1,1,1,50-59,Female
511,IMM_2,1,1,1,50-59,Female
511,IMM_1,0,1,1,50-59,Female
512,IMM_1,0,1,1,70-79,Female
512,IMM_9,4,1,1,70-79,Female
512,IMM_8,3,1,1,70-79,Female
512,IMM_2,0,1,1,70-79,Female
512,IMM_6,3,1,1,70-79,Female
512,IMM_10,2,1,1,70-79,Female
512,IMM_5,0,1,1,70-79,Female
512,IMM_4,2,1,1,70-79,Female
512,IMM_3,4,1,1,70-79,Female
512,IMM_7,1,1,1,70-79,Female
516,IMM_5,3,1,1,40-49,Male
516,IMM_8,4,1,1,40-49,Male
516,IMM_6,4,1,1,40-49,Male
516,IMM_7,0,1,1,40-49,Male
516,IMM_10,3,1,1,40-49,Male
516,IMM_1,1,1,1,40-49,Male
516,IMM_4,2,1,1,40-49,Male
516,IMM_2,4,1,1,40-49,Male
516,IMM_9,2,1,1,40-49,Male
516,IMM_3,2,1,1,40-49,Male
520,IMM_9,3,1,1,50-59,Female
520,IMM_5,0,1,1,50-59,Female
520,IMM_2,2,1,1,50-59,Female
520,IMM_7,1,1,1,50-59,Female
520,IMM_1,1,1,1,50-59,Female
520,IMM_10,2,1,1,50-59,Female
520,IMM_3,4,1,1,50-59,Female
